catch_id,date,site,species,sex,length_cm,weight_kg,gear,vessel,depth_m,water_temp_c,legal_size,value_aud
C0524,2023-01-18,Cairns Inlet,Red Emperor,F,58.4,2.66,line,FV-058,30.1,27.0,True,69.16
C0209,2023-01-18,Fitzroy Reef,Barramundi,M,70.2,4.85,net,FV-063,38.8,26.3,True,106.7
C1888,2023-01-18,Frankland Islands,Coral Trout,U,39.1,0.82,spear,FV-012,43.4,27.9,True,22.96
C0059,2023-01-19,Green Island,Coral Trout,F,38.4,0.8,line,FV-027,36.3,27.3,True,22.4
C0011,2023-01-19,Michaelmas Cay,Barramundi,M,57.3,2.55,spear,FV-012,25.0,28.3,False,56.1
C1297,2023-01-19,Frankland Islands,Spanish Mackerel,M,87.3,5.31,line,FV-088,11.1,26.9,True,95.58
C0094,2023-01-19,Green Island,Coral Trout,U,47.8,1.75,trap,FV-027,13.9,27.2,True,49.0
C0993,2023-01-20,Cairns Inlet,Mangrove Jack,U,45.1,1.29,line,FV-041,32.2,26.1,True,25.8
C0922,2023-01-20,Trinity Bay,Coral Trout,U,43.8,1.32,trap,FV-071,29.8,27.3,True,36.96
C1078,2023-01-20,Trinity Bay,Barramundi,M,65.7,3.62,trap,FV-063,15.9,27.4,True,79.64
C0573,2023-01-20,Fitzroy Reef,Barramundi,F,69.4,4.14,spear,FV-041,42.3,26.5,True,91.08
C1176,2023-01-20,Frankland Islands,Red Emperor,F,56.6,2.44,trap,FV-058,7.9,27.3,True,63.44
C0302,2023-01-21,Green Island,Coral Trout,M,51.7,1.79,net,FV-012,39.3,26.6,True,50.12
C0093,2023-01-21,Fitzroy Reef,Coral Trout,M,34.5,0.63,trap,FV-041,40.9,26.4,False,17.64
C0128,2023-01-21,Trinity Bay,Mangrove Jack,U,31.9,0.4,spear,FV-071,42.8,26.8,False,8.0
C0326,2023-01-22,Trinity Bay,Mangrove Jack,U,37.8,0.75,line,FV-041,14.2,26.8,True,15.0
C1059,2023-01-22,Cairns Inlet,Mangrove Jack,M,35.9,0.66,line,FV-088,5.8,27.3,True,13.2
C1277,2023-01-22,Green Island,Red Emperor,F,56.8,2.2,line,FV-058,8.6,27.6,True,57.2
C1295,2023-01-23,Trinity Bay,Grass Emperor,M,22.9,0.19,spear,FV-034,26.7,27.2,False,2.85
C1679,2023-01-23,Cairns Inlet,Barramundi,U,74.7,5.95,spear,FV-041,15.0,26.2,True,130.9
C0825,2023-01-23,Frankland Islands,Coral Trout,F,46.4,1.3,trap,FV-063,42.9,26.4,True,36.4
C0931,2023-01-24,Frankland Islands,Mangrove Jack,F,38.7,0.71,line,FV-027,21.2,27.9,True,14.2
C0554,2023-01-24,Michaelmas Cay,Mangrove Jack,F,50.1,1.91,line,FV-027,6.1,27.5,True,38.2
C1582,2023-01-25,Trinity Bay,Barramundi,U,55.2,2.38,trap,FV-034,13.1,26.5,False,52.36
C0500,2023-01-25,Green Island,Mangrove Jack,M,38.8,0.72,line,FV-071,36.2,27.4,True,14.4
C1074,2023-01-25,Michaelmas Cay,Red Emperor,F,61.8,3.18,spear,FV-088,41.3,27.3,True,82.68
C0929,2023-01-26,Frankland Islands,Coral Trout,F,34.4,0.56,spear,FV-034,37.4,27.9,False,15.68
C1588,2023-01-26,Michaelmas Cay,Barramundi,F,53.1,2.05,spear,FV-034,6.7,28.1,False,45.1
C1413,2023-01-26,Cairns Inlet,Coral Trout,M,45.8,1.29,spear,FV-071,43.6,27.3,True,36.12
C0942,2023-01-27,Frankland Islands,Barramundi,F,62.9,3.77,spear,FV-088,25.6,28.1,True,82.94
C1477,2023-01-29,Trinity Bay,Spanish Mackerel,M,80.9,4.91,line,FV-027,31.2,27.2,True,88.38
C0575,2023-01-29,Frankland Islands,Mangrove Jack,F,29.6,0.35,line,FV-027,23.1,27.6,False,7.0
C1647,2023-01-29,Cairns Inlet,Barramundi,F,62.0,2.93,line,FV-071,11.8,27.1,True,64.46
C1648,2023-01-30,Trinity Bay,Red Emperor,U,44.3,1.16,spear,FV-012,16.5,27.3,False,30.16
C0811,2023-01-30,Green Island,Mangrove Jack,M,39.9,0.91,trap,FV-088,16.0,27.1,True,18.2
C1942,2023-01-30,Fitzroy Reef,Coral Trout,F,43.9,1.15,line,FV-088,39.0,28.0,True,32.2
C0885,2023-01-30,Green Island,Barramundi,M,66.0,4.01,trap,FV-012,8.1,27.6,True,88.22
C0313,2023-01-30,Fitzroy Reef,Barramundi,F,62.2,3.06,line,FV-063,33.4,28.8,True,67.32
C0073,2023-01-31,Trinity Bay,Barramundi,F,70.3,5.13,trap,FV-041,30.2,26.9,True,112.86
C1897,2023-01-31,Frankland Islands,Red Emperor,M,44.0,1.37,trap,FV-071,23.4,28.1,False,35.62
C1280,2023-01-31,Frankland Islands,Mangrove Jack,M,41.7,0.99,trap,FV-058,38.9,28.8,True,19.8
C0940,2023-01-31,Cairns Inlet,Mangrove Jack,U,37.2,0.69,net,FV-034,6.4,27.5,True,13.8
C0337,2023-02-01,Michaelmas Cay,Grass Emperor,,39.1,0.83,net,FV-041,26.8,27.8,True,12.45
C0538,2023-02-01,Cairns Inlet,Spanish Mackerel,F,80.3,4.43,trap,FV-027,34.4,,True,79.74
C0086,2023-02-01,Trinity Bay,Barramundi,M,66.7,4.2,line,FV-088,31.2,27.8,True,92.4
C1402,2023-02-02,Green Island,Mangrove Jack,U,42.7,1.06,net,FV-012,42.4,28.0,True,21.2
C1502,2023-02-02,Green Island,Mangrove Jack,U,43.2,0.97,line,FV-041,37.1,26.7,True,19.4
C1836,2023-02-03,Green Island,Barramundi,U,71.2,5.47,spear,FV-088,10.5,27.0,True,120.34
C0131,2023-02-03,Frankland Islands,Barramundi,F,60.6,3.42,trap,FV-063,10.2,27.5,True,75.24
C1396,2023-02-04,Michaelmas Cay,Coral Trout,F,45.4,1.49,trap,FV-088,25.1,28.1,True,41.72
C1348,2023-02-04,Trinity Bay,Coral Trout,F,42.2,0.98,line,FV-027,42.1,28.4,True,27.44
C0550,2023-02-05,Fitzroy Reef,Barramundi,U,52.8,1.85,line,FV-088,43.3,27.3,False,40.7
C1545,2023-02-05,Cairns Inlet,Red Emperor,F,65.6,3.82,net,FV-027,9.6,27.7,True,99.32
C1419,2023-02-05,Trinity Bay,Red Emperor,M,55.6,2.82,line,FV-058,34.2,27.8,True,73.32
C1385,2023-02-06,Fitzroy Reef,Coral Trout,M,50.5,1.74,line,FV-063,41.4,28.2,True,48.72
C1734,2023-02-07,Green Island,Mangrove Jack,F,38.8,0.86,trap,FV-041,27.3,27.4,True,17.2
C1024,2023-02-09,Cairns Inlet,Mangrove Jack,U,42.2,1.08,net,FV-058,4.6,27.9,True,21.6
C1272,2023-02-10,Frankland Islands,Grass Emperor,U,36.7,0.71,trap,FV-088,24.1,28.5,True,10.65
C0767,2023-02-10,Trinity Bay,Coral Trout,F,39.5,0.77,trap,FV-027,28.0,27.6,True,21.56
C1718,2023-02-10,Green Island,Barramundi,M,65.8,3.85,line,FV-063,20.2,27.3,True,84.7
C1119,2023-02-11,Frankland Islands,Coral Trout,F,46.7,1.5,net,FV-088,15.8,27.8,True,42.0
C1577,2023-02-11,Trinity Bay,Barramundi,F,53.2,1.82,line,FV-058,37.4,28.3,False,40.04
C0101,2023-02-11,Frankland Islands,Barramundi,U,55.7,2.4,spear,FV-034,30.6,28.7,False,52.8
C1175,2023-02-12,Michaelmas Cay,Barramundi,F,58.0,3.04,line,FV-041,33.0,29.1,True,66.88
C1556,2023-02-12,Fitzroy Reef,Coral Trout,M,34.0,0.55,spear,FV-034,28.6,28.3,False,15.4
C1500,2023-02-13,Trinity Bay,Coral Trout,M,50.2,1.9,line,FV-012,28.5,28.3,True,53.2
C0842,2023-02-13,Fitzroy Reef,Red Emperor,F,52.5,2.07,line,FV-063,44.0,27.7,True,53.82
C1900,2023-02-14,Michaelmas Cay,Spanish Mackerel,M,96.6,7.45,line,FV-034,27.2,27.0,True,134.1
C1997,2023-02-15,Fitzroy Reef,Mangrove Jack,M,47.8,1.55,net,FV-012,30.8,27.9,True,31.0
C1230,2023-02-15,Michaelmas Cay,Coral Trout,M,33.0,0.44,net,FV-027,6.9,27.0,False,12.32
C1892,2023-02-15,Cairns Inlet,Grass Emperor,F,46.4,1.37,line,FV-063,39.7,27.9,True,20.55
C0233,2023-02-16,Cairns Inlet,Grass Emperor,M,37.1,0.84,line,FV-041,23.3,27.3,True,12.6
C0695,2023-02-16,Fitzroy Reef,Mangrove Jack,U,30.9,0.42,spear,FV-071,21.4,27.7,False,8.4
C1800,2023-02-16,Michaelmas Cay,Grass Emperor,F,38.5,0.91,net,FV-063,17.1,28.6,True,13.65
C0751,2023-02-16,Michaelmas Cay,Mangrove Jack,U,28.0,0.34,line,FV-063,12.1,28.6,False,6.8
C1501,2023-02-16,Fitzroy Reef,Barramundi,M,75.8,6.56,line,FV-012,17.1,27.9,True,144.32
C0759,2023-02-16,Cairns Inlet,Coral Trout,M,44.1,1.26,net,FV-012,42.3,28.2,True,35.28
C1315,2023-02-16,Cairns Inlet,Coral Trout,M,50.6,2.01,line,FV-012,14.9,27.9,True,56.28
C0529,2023-02-17,Frankland Islands,Red Emperor,U,55.6,2.49,net,FV-058,17.0,27.8,True,64.74
C1542,2023-02-17,Frankland Islands,Red Emperor,F,49.0,1.7,line,FV-071,36.6,27.1,True,44.2
C0450,2023-02-17,Fitzroy Reef,Coral Trout,F,53.3,2.24,line,FV-063,9.0,27.3,True,62.72
C0923,2023-02-17,Frankland Islands,Coral Trout,F,31.8,0.42,line,FV-041,43.2,28.1,False,11.76
C1530,2023-02-17,Green Island,Red Emperor,F,43.0,1.04,spear,FV-071,7.4,28.1,False,27.04
C0041,2023-02-18,Frankland Islands,Barramundi,F,65.6,3.61,net,FV-088,32.7,28.9,True,79.42
C0311,2023-02-18,Trinity Bay,Mangrove Jack,M,41.1,0.89,line,FV-088,3.3,27.4,True,17.8
C0123,2023-02-18,Michaelmas Cay,Grass Emperor,M,29.4,0.39,line,FV-034,8.2,27.4,True,5.85
C1880,2023-02-19,Trinity Bay,Spanish Mackerel,F,74.7,3.68,trap,FV-071,42.7,29.2,False,66.24
C1916,2023-02-19,Trinity Bay,Grass Emperor,F,32.2,0.48,spear,FV-058,12.3,29.5,True,7.2
C1986,2023-02-20,Cairns Inlet,Barramundi,M,64.1,3.29,net,FV-058,24.2,28.2,True,72.38
C1830,2023-02-20,Fitzroy Reef,Barramundi,M,70.1,5.09,line,FV-058,9.6,28.5,True,111.98
C1082,2023-02-20,Fitzroy Reef,Mangrove Jack,M,29.5,0.42,spear,FV-063,8.1,28.7,False,8.4
C1005,2023-02-21,Cairns Inlet,Mangrove Jack,M,54.4,2.46,net,FV-071,33.0,27.4,True,49.2
C1873,2023-02-22,Trinity Bay,Grass Emperor,M,29.9,0.45,net,FV-012,32.0,27.5,True,6.75
C1724,2023-02-22,Green Island,Barramundi,F,55.5,2.49,net,FV-088,39.3,28.7,False,54.78
C1694,2023-02-22,Fitzroy Reef,Coral Trout,U,46.7,1.56,spear,FV-041,41.1,30.4,True,43.68
C1702,2023-02-22,Frankland Islands,Spanish Mackerel,M,78.7,4.09,line,FV-012,33.5,28.8,True,73.62
C1841,2023-02-23,Frankland Islands,Red Emperor,M,57.4,2.67,line,FV-088,27.0,28.9,True,69.42
C1964,2023-02-23,Cairns Inlet,Coral Trout,M,48.7,1.64,net,FV-012,10.3,28.2,True,45.92
C0982,2023-02-23,Green Island,Barramundi,F,55.0,2.44,line,FV-088,30.8,27.4,False,53.68
C1099,2023-02-24,Green Island,Red Emperor,M,48.3,1.46,line,FV-034,3.5,28.1,True,37.96
C1906,2023-02-24,Fitzroy Reef,Coral Trout,U,64.2,4.08,line,FV-058,41.9,28.0,True,114.24
C1320,2023-02-24,Trinity Bay,Coral Trout,M,60.1,3.14,trap,FV-088,35.2,28.3,True,87.92
C1181,2023-02-25,Michaelmas Cay,Red Emperor,F,53.0,1.85,net,FV-088,39.8,29.0,True,48.1
C1282,2023-02-26,Green Island,Red Emperor,F,43.8,1.39,line,FV-027,8.8,29.5,False,36.14
C1518,2023-02-26,Trinity Bay,Mangrove Jack,U,38.9,0.77,spear,FV-071,30.9,28.1,True,15.4
C1006,2023-02-26,Cairns Inlet,Grass Emperor,F,24.9,0.23,trap,FV-012,15.9,28.8,False,3.45
C1895,2023-02-28,Green Island,Barramundi,M,80.7,8.07,trap,FV-058,28.7,29.3,True,177.54
C1041,2023-03-01,Fitzroy Reef,Mangrove Jack,F,44.0,1.23,line,FV-012,34.3,29.3,True,24.6
C0799,2023-03-02,Frankland Islands,Red Emperor,M,49.8,1.72,line,FV-012,4.3,28.9,True,44.72
C1138,2023-03-02,Fitzroy Reef,Spanish Mackerel,F,101.0,8.63,trap,FV-058,12.9,29.6,True,155.34
C0955,2023-03-02,Cairns Inlet,Mangrove Jack,U,51.2,1.89,trap,FV-058,19.9,27.9,True,37.8
C0636,2023-03-02,Green Island,Barramundi,F,65.7,3.98,trap,FV-063,30.5,27.7,True,87.56
C0605,2023-03-02,Trinity Bay,Barramundi,M,64.5,3.77,net,FV-058,41.4,28.7,True,82.94
C1656,2023-03-02,Frankland Islands,Barramundi,F,74.1,5.76,line,FV-071,28.4,28.3,True,126.72
C1153,2023-03-02,Cairns Inlet,Coral Trout,M,40.7,1.02,line,FV-027,24.4,28.5,True,28.56
C1014,2023-03-03,Michaelmas Cay,Coral Trout,F,46.1,1.53,net,FV-034,15.7,27.9,True,42.84
C0254,2023-03-03,Fitzroy Reef,Barramundi,M,71.3,5.23,line,FV-071,13.9,28.5,True,115.06
C0809,2023-03-03,Michaelmas Cay,Mangrove Jack,M,39.3,0.85,line,FV-088,19.0,28.8,True,17.0
C0489,2023-03-04,Green Island,Barramundi,M,54.2,2.2,trap,FV-012,22.5,28.3,False,48.4
C0279,2023-03-04,Michaelmas Cay,Coral Trout,F,51.6,1.75,line,FV-041,28.2,28.9,True,49.0
C1616,2023-03-04,Michaelmas Cay,Red Emperor,U,39.7,0.88,trap,FV-071,15.9,28.8,False,22.88
C1052,2023-03-05,Fitzroy Reef,Red Emperor,F,54.7,2.8,spear,FV-071,36.8,28.5,True,72.8
C1944,2023-03-06,Green Island,Spanish Mackerel,U,72.5,2.73,spear,FV-034,11.5,29.1,False,49.14
C0818,2023-03-06,Green Island,Mangrove Jack,M,57.7,,trap,FV-012,10.6,29.5,True,57.4
C1350,2023-03-06,Cairns Inlet,Coral Trout,F,51.2,1.61,line,FV-041,14.6,30.2,True,45.08
C0796,2023-03-06,Green Island,Coral Trout,F,41.7,1.03,line,FV-088,30.1,28.1,True,28.84
C0669,2023-03-07,Fitzroy Reef,Red Emperor,M,49.5,1.86,net,FV-063,20.2,28.4,True,48.36
C0268,2023-03-07,Michaelmas Cay,Coral Trout,M,60.7,3.2,trap,FV-071,11.4,28.5,True,89.6
C1831,2023-03-07,Frankland Islands,Coral Trout,F,38.7,0.79,spear,FV-071,40.2,29.0,True,22.12
C0991,2023-03-07,Frankland Islands,Coral Trout,F,56.7,2.41,net,FV-041,10.4,28.3,True,67.48
C0712,2023-03-07,Cairns Inlet,Barramundi,U,69.2,4.33,spear,FV-058,34.4,28.0,True,95.26
C0240,2023-03-08,Michaelmas Cay,Coral Trout,M,41.0,1.04,line,FV-034,17.1,29.6,True,29.12
C0813,2023-03-08,Michaelmas Cay,Barramundi,M,67.7,4.15,line,FV-058,22.2,29.3,True,91.3
C0008,2023-03-09,Trinity Bay,Grass Emperor,U,30.4,0.36,line,FV-041,8.5,29.5,True,5.4
C1581,2023-03-09,Cairns Inlet,Mangrove Jack,U,36.2,0.72,trap,FV-034,35.3,27.9,True,14.4
C1020,2023-03-09,Cairns Inlet,Red Emperor,M,55.4,2.17,spear,FV-058,25.2,28.2,True,56.42
C0211,2023-03-09,Cairns Inlet,Coral Trout,F,45.5,1.4,net,FV-027,19.1,28.3,True,39.2
C0586,2023-03-09,Michaelmas Cay,Barramundi,F,65.3,4.6,line,FV-088,29.2,28.8,True,101.2
C1812,2023-03-09,Trinity Bay,Coral Trout,U,39.5,0.89,line,FV-012,20.6,28.6,True,24.92
C0647,2023-03-10,Cairns Inlet,Grass Emperor,F,45.6,1.63,net,FV-058,28.8,28.5,True,24.45
C0689,2023-03-10,Frankland Islands,Barramundi,F,75.3,5.93,trap,FV-027,38.7,28.9,True,130.46
C1571,2023-03-10,Fitzroy Reef,Spanish Mackerel,U,88.8,6.11,line,FV-012,15.7,29.0,True,109.98
C0626,2023-03-11,Trinity Bay,Coral Trout,F,51.3,1.87,net,FV-058,28.5,28.6,True,52.36
C1757,2023-03-12,Fitzroy Reef,Coral Trout,F,40.0,0.81,line,FV-034,13.2,29.8,True,22.68
C0298,2023-03-13,Frankland Islands,Red Emperor,M,58.6,3.15,net,FV-041,44.1,29.1,True,81.9
C1063,2023-03-13,Michaelmas Cay,Barramundi,U,78.6,6.7,line,FV-012,42.7,29.0,True,147.4
C1079,2023-03-13,Cairns Inlet,Barramundi,U,67.0,4.05,line,FV-041,40.1,28.5,True,89.1
C1603,2023-03-13,Cairns Inlet,Red Emperor,F,60.2,3.03,line,FV-063,30.0,28.2,True,78.78
C0231,2023-03-14,Michaelmas Cay,Barramundi,U,64.0,3.14,trap,FV-027,15.3,29.1,True,69.08
C0970,2023-03-14,Trinity Bay,Barramundi,U,52.9,1.87,spear,FV-034,16.1,28.0,False,41.14
C1162,2023-03-14,Fitzroy Reef,Grass Emperor,M,23.5,0.21,net,FV-027,41.4,29.9,False,3.15
C0293,2023-03-14,Green Island,Coral Trout,M,42.3,1.03,line,FV-012,43.6,29.1,True,28.84
C1388,2023-03-14,Trinity Bay,Mangrove Jack,F,34.4,0.53,spear,FV-034,39.1,28.6,False,10.6
C1134,2023-03-14,Frankland Islands,Mangrove Jack,F,37.1,0.74,line,FV-041,13.0,29.9,True,14.8
C0727,2023-03-14,Frankland Islands,Grass Emperor,M,29.2,0.36,line,FV-027,37.5,29.9,True,5.4
C1001,2023-03-15,Green Island,Coral Trout,F,49.8,1.47,trap,FV-027,6.8,29.4,True,41.16
C0122,2023-03-15,Trinity Bay,Barramundi,F,62.4,4.08,line,FV-041,24.4,29.1,True,89.76
C0334,2023-03-15,Frankland Islands,Coral Trout,M,41.8,0.96,spear,FV-058,36.4,28.7,True,26.88
C1580,2023-03-16,Fitzroy Reef,Spanish Mackerel,F,85.2,5.4,line,FV-041,43.0,28.7,True,97.2
C1193,2023-03-16,Cairns Inlet,Grass Emperor,M,35.5,,net,FV-088,20.1,28.6,True,9.45
C1165,2023-03-17,Frankland Islands,Barramundi,U,58.9,3.2,spear,FV-071,6.6,28.3,True,70.4
C0083,2023-03-17,Cairns Inlet,Coral Trout,F,42.3,1.11,line,FV-088,5.8,29.3,True,31.08
C1646,2023-03-18,Michaelmas Cay,Red Emperor,F,57.7,3.05,line,FV-088,20.1,29.0,True,79.3
C1815,2023-03-18,Cairns Inlet,Barramundi,M,53.6,2.07,trap,FV-071,21.2,28.7,False,45.54
C0975,2023-03-19,Cairns Inlet,Barramundi,U,68.8,4.03,trap,FV-027,6.8,29.2,True,88.66
C1976,2023-03-19,Fitzroy Reef,Grass Emperor,U,38.4,0.92,net,FV-058,32.4,28.5,True,13.8
C0686,2023-03-20,Green Island,Barramundi,M,61.7,3.57,spear,FV-088,35.3,28.6,True,78.54
C0482,2023-03-20,Frankland Islands,Spanish Mackerel,F,83.3,4.57,line,FV-034,18.2,28.5,True,82.26
C1294,2023-03-20,Cairns Inlet,Barramundi,F,69.5,4.48,line,FV-012,12.2,28.7,True,98.56
C1480,2023-03-20,Cairns Inlet,Barramundi,F,74.3,5.26,spear,FV-063,36.7,28.8,True,115.72
C1102,2023-03-20,Trinity Bay,Barramundi,M,60.8,2.96,spear,FV-041,10.3,28.7,True,65.12
C1741,2023-03-21,Trinity Bay,Red Emperor,M,52.6,2.25,net,FV-058,33.7,29.7,True,58.5
C0195,2023-03-22,Green Island,Grass Emperor,F,32.0,0.51,spear,FV-071,37.5,29.3,True,7.65
C1314,2023-03-22,Fitzroy Reef,Barramundi,F,67.3,4.27,net,FV-034,35.6,29.0,True,93.94
C0875,2023-03-23,Green Island,Mangrove Jack,M,45.9,1.35,line,FV-027,31.3,29.2,True,27.0
C1617,2023-03-23,Green Island,Barramundi,M,69.0,3.95,spear,FV-027,36.6,29.1,True,86.9
C0838,2023-03-23,Fitzroy Reef,Spanish Mackerel,M,69.3,2.5,spear,FV-034,27.5,29.5,False,45.0
C0140,2023-03-23,Michaelmas Cay,Spanish Mackerel,F,84.3,5.21,net,FV-063,17.5,29.6,True,93.78
C1133,2023-03-24,Cairns Inlet,Barramundi,M,62.6,3.36,trap,FV-058,40.1,29.2,True,73.92
C1971,2023-03-24,Michaelmas Cay,Spanish Mackerel,F,71.3,3.04,spear,FV-012,40.1,28.2,False,54.72
C1017,2023-03-24,Green Island,Spanish Mackerel,U,87.8,6.34,line,FV-012,3.5,28.0,True,114.12
C0677,2023-03-24,Frankland Islands,Mangrove Jack,F,43.7,1.0,net,FV-034,24.7,29.8,True,20.0
C0995,2023-03-24,Trinity Bay,Barramundi,F,70.9,5.17,trap,FV-071,43.8,28.6,True,113.74
C0265,2023-03-24,Cairns Inlet,Mangrove Jack,F,43.2,1.21,spear,FV-012,39.8,29.0,True,24.2
C1244,2023-03-25,Michaelmas Cay,Barramundi,F,60.1,2.84,spear,FV-071,26.8,28.3,True,62.48
C0111,2023-03-25,Trinity Bay,Red Emperor,F,58.8,3.34,line,FV-063,20.8,29.5,True,86.84
C0294,2023-03-25,Cairns Inlet,Coral Trout,M,38.2,,line,FV-088,20.1,29.1,True,21.28
C0138,2023-03-25,Michaelmas Cay,Red Emperor,F,47.4,1.36,net,FV-063,18.3,29.7,True,35.36
C1943,2023-03-26,Frankland Islands,Barramundi,M,76.0,5.96,net,FV-027,5.8,28.8,True,131.12
C0569,2023-03-26,Green Island,Coral Trout,M,37.3,0.71,net,FV-071,4.9,29.3,False,19.88
C0387,2023-03-26,Fitzroy Reef,Spanish Mackerel,M,75.2,3.4,trap,FV-034,7.9,28.8,True,61.2
C1355,2023-03-27,Cairns Inlet,Barramundi,F,60.7,3.3,line,FV-041,27.7,29.1,True,72.6
C1877,2023-03-27,Trinity Bay,Mangrove Jack,U,31.9,0.41,spear,FV-034,19.4,29.5,False,8.2
C1810,2023-03-27,Michaelmas Cay,Red Emperor,M,40.8,0.9,spear,FV-071,21.6,29.1,False,23.4
C0358,2023-03-28,Trinity Bay,Coral Trout,U,45.3,1.19,line,FV-063,25.5,30.4,True,33.32
C1393,2023-03-29,Michaelmas Cay,Grass Emperor,M,35.0,0.62,line,FV-027,9.5,29.0,True,9.3
C1105,2023-03-29,Green Island,Coral Trout,M,54.7,2.49,trap,FV-012,22.5,28.9,True,69.72
